"treatment_id","Full"
"2007Lis165_1a",99.6630340448695
"2012Laz164_3",492.383909691382
"2013Kru001_1a",215.469020974013
"2016Kim003_7",276.056926142423
"2017Del037_1",89.7573330424468
"2017Fro073_1",381.344601625929
"2017Gac013_2",216.663863712504
"2017Gac013_4",222.047942579437
"2017Tho028_1",247.548752897037
"2018Her061_9",115.070240265335
"2019Cha026_1",187.577378400013
"2020Bas115_2a",452.909598918477
"2023Eck169_1a",1163.59138716728
"2023Eck169_1b",1245.19515143179
"Average",386.091367206639
