"donation","Kw_m","PaperID","TreatmentCode"
"0",-0.942857142857143,"2015Ves034",4
"1",-0.790476190476191,"2015Ves034",4
"2",-0.523809523809524,"2015Ves034",4
"3",-0.257142857142857,"2015Ves034",4
"4",0.276190476190476,"2015Ves034",4
"5",0.942857142857143,"2015Ves034",4
"6",0.638095238095238,"2015Ves034",4
"7",0.485714285714286,"2015Ves034",4
"8",0.219047619047619,"2015Ves034",4
"9",0.104761904761905,"2015Ves034",4
"10",0.00952380952380952,"2015Ves034",4
"0",-0.941176470588235,"2015Ves034",1
"1",-0.764705882352941,"2015Ves034",1
"2",-0.431372549019608,"2015Ves034",1
"3",-0.0784313725490196,"2015Ves034",1
"4",0.294117647058824,"2015Ves034",1
"5",0.92156862745098,"2015Ves034",1
"6",0.588235294117647,"2015Ves034",1
"7",0.392156862745098,"2015Ves034",1
"8",0.0784313725490196,"2015Ves034",1
"9",-0.117647058823529,"2015Ves034",1
"10",-0.137254901960784,"2015Ves034",1
