"Kw_m","PaperID","TreatmentCode","donation"
-0.691666672937572,"2019Cha026",3,-5
-0.625000013038516,"2019Cha026",3,-4
-0.541666680946946,"2019Cha026",3,-3
-0.366666677718361,"2019Cha026",3,-2
-0.125000004035731,"2019Cha026",3,-1
0.766666675607363,"2019Cha026",3,0
0.575000008568168,"2019Cha026",3,1
0.500000009002785,"2019Cha026",3,2
0.433333337306976,"2019Cha026",3,3
0.458333336127301,"2019Cha026",3,4
0.350000002421439,"2019Cha026",3,5
-0.36571428924799,"2019Cha026",2,0
-0.23428571926696,"2019Cha026",2,1
-0.194285717393671,"2019Cha026",2,2
0.00571428345782416,"2019Cha026",2,3
0.234285718628338,"2019Cha026",2,4
0.525714287587575,"2019Cha026",2,5
0.125714286097458,"2019Cha026",2,6
-0.108571431892259,"2019Cha026",2,7
-0.320000004981245,"2019Cha026",2,8
-0.405714287928173,"2019Cha026",2,9
-0.497142859654767,"2019Cha026",2,10
-0.394117653808173,"2019Cha026",1,0
-0.258823536774691,"2019Cha026",1,1
-0.176470596124144,"2019Cha026",1,2
0.00588235346709981,"2019Cha026",1,3
0.264705888488713,"2019Cha026",1,4
0.747058831812704,"2019Cha026",1,5
0.564705889891176,"2019Cha026",1,6
0.535294118392117,"2019Cha026",1,7
0.464705882703557,"2019Cha026",1,8
0.411764705663218,"2019Cha026",1,9
0.352941176470588,"2019Cha026",1,10
