"donation","Kw_m","PaperID","TreatmentCode"
"1",0.750841750841751,"2020And089",4
"0",-0.286195286195286,"2020And089",4
"1",0.819444444444445,"2020And089",3
"0",-0.444444444444444,"2020And089",3
"0",-0.4375,"2020And089",2
"10",-0.0416666666666667,"2020And089",2
"20",0.263888888888889,"2020And089",2
"30",0.5,"2020And089",2
"40",0.597222222222222,"2020And089",2
"50",0.868055555555555,"2020And089",2
"0",-0.414141414141414,"2020And089",1
"10",0.00336700336700337,"2020And089",1
"20",0.306397306397306,"2020And089",1
"30",0.521885521885522,"2020And089",1
"40",0.663299663299663,"2020And089",1
"50",0.851851851851852,"2020And089",1
